Name,Price,Store Name,Product Link,Main Img Link,Date,Season,Category
Cream Plastic Fern Bush,$8.97,greenerymarket,https://greenerymarket.com/collections/fall/products/white-plastic-fern-bush?_pos=20&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/cream-plastic-fern-bush85367-uv-wt-1334018.jpg,2026/7/9,fall,artificial plants
Berry and leaves pick,$6.97,greenerymarket,https://greenerymarket.com/collections/fall/products/berry-and-leaves-pick?_pos=21&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/berry-and-leaves-pick57161or-636122.jpg,2026/7/9,fall,artificial plants
Peony and hydrangea mixed bush - blue,$12.97,greenerymarket,https://greenerymarket.com/collections/fall/products/peony-and-hydrangea-mixed-bush-blue?_pos=22&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/peony-and-hydrangea-mixed-bush-blue84567-bl-818152.jpg,2026/7/9,fall,artificial plants
Artificial thistle hydrangeas bush - blue,$5.67,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-thistle-hydrangeas-bush-blue?_pos=23&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-thistle-hydrangeas-bush-blue64299-bl-402786.jpg,2026/7/9,fall,artificial plants
Artificial cosmos bush - purple,$9.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-cosmos-bush-purple-1?_pos=24&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-cosmos-bush-purple84566-ltpu-2058076.jpg,2026/7/9,fall,artificial plants
Mixed greenery spray - beige cream,$6.97,greenerymarket,https://greenerymarket.com/collections/fall/products/mixed-greenery-spray-beige-cream?_pos=25&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/mixed-greenery-spray-beige-cream64414-913872.jpg,2026/7/9,fall,artificial plants
Seed bush - Mustard Orange,$6.97,greenerymarket,https://greenerymarket.com/collections/fall/products/seed-bush-gold-yellow?_pos=26&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/seed-bush-mustard-orange57095gdyw-8877543.jpg,2026/7/9,fall,artificial plants
Wild wheat bush - rusty,$10.97,greenerymarket,https://greenerymarket.com/collections/fall/products/wild-wheat-bush-rusty?_pos=27&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/wild-wheat-bush-rustyxvp4370-261718.jpg,2026/7/9,fall,artificial plants
Fall Maple Leaves Bush,$8.27,greenerymarket,https://greenerymarket.com/collections/fall/products/fall-maples-leaves-bush-1?_pos=28&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/fall-maples-leaves-bush73201-584256.jpg,2026/7/9,fall,artificial plants
Green velvet pumpkin spray,$8.87,greenerymarket,https://greenerymarket.com/collections/fall/products/green-velvet-pumpkin-spray?_pos=29&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/green-velvet-pumpkin-spray84447-gn-242630.jpg,2026/7/9,fall,artificial plants
"Berry, leaves, & cone pick",$6.97,greenerymarket,https://greenerymarket.com/collections/fall/products/berry-leaves-pick?_pos=30&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/berry-leaves-cone-pick57163or-834425.jpg,2026/7/9,fall,artificial plants
"Orange fern, greenery x 2 bushes",$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/orange-fern-greenery-x-2-bushes?_pos=31&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/orange-fern-greenery-x-2-bushes43224-746217.jpg,2026/7/9,fall,artificial plants
"Orange mini flower, greenery x 2 bushes",$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/orange-mini-flower-greenery-x-2-bushes-1?_pos=32&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/orange-mini-flower-greenery-x-2-bushes43926-8721077.jpg,2026/7/9,fall,artificial plants
Fall leaves and berries spray,$8.97,greenerymarket,https://greenerymarket.com/collections/fall/products/fall-leaves-and-berries-spray?_pos=33&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/fall-leaves-and-berries-spray235917-8598774.jpg,2026/7/9,fall,artificial plants
Artificial Magnolia Leaves Spray - beige brown,$6.47,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-magnolia-leaves-spray-beige-brown?_pos=34&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-magnolia-leaves-spray-beige-brown85320-beige-5226391.jpg,2026/7/9,fall,artificial plants
Artificial Magnolia Leaves Spray - green,$6.47,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-magnolia-leaves-spray-green?_pos=35&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-magnolia-leaves-spray-green85320-gn-3465719.jpg,2026/7/9,fall,artificial plants
Artificial Magnolia Leaves Spray - flame,$6.47,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-magnolia-leaves-spray-flame?_pos=36&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-magnolia-leaves-spray-flame85320-yelor-6689463.jpg,2026/7/9,fall,artificial plants
Artificial Birch Leaves Spray - Beige Brown,$7.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-birch-leaves-spray-beige-brown?_pos=37&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-birch-leaves-spray-beige-brown65210-bebrn-2718971.jpg,2026/7/9,fall,artificial plants
Artificial Birch Leaves Spray - burgundy brown,$7.87,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-birch-leaves-spray-burgundy-brown?_pos=38&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-birch-leaves-spray-burgundy-brown65210-bgbrn-9965165.jpg,2026/7/9,fall,artificial plants
Artificial Greenery Filler Bush - Autumn,$4.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-greenery-filler-bush-autumn?_pos=39&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-greenery-filler-bush-autumn65362-or-1570809.jpg,2026/7/9,fall,artificial plants
Artificial Astilbe Grass Bush - peach,$4.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-greenery-filler-bush-autumn-1?_pos=40&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-astilbe-grass-bush-peach65361-or-6657581.jpg,2026/7/9,fall,artificial plants
Mixed berry and greenery spray - cream,$9.97,greenerymarket,https://greenerymarket.com/collections/fall/products/mixed-berry-and-greenery-spray-cream?_pos=41&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/mixed-berry-and-greenery-spray-cream65198-4298616.jpg,2026/7/9,fall,artificial plants
Pumpkin And Maple Leaves Spray,$9.97,greenerymarket,https://greenerymarket.com/collections/fall/products/pumpkin-and-maple-leaves-spray?_pos=42&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/pumpkin-and-maple-leaves-spray65195-8344116.jpg,2026/7/9,fall,artificial plants
Fern and heather berry floral spray 60919 beige 63048,$6.97,greenerymarket,https://greenerymarket.com/collections/fall/products/fern-and-heather-berry-floral-spray-60919-beige-63048?_pos=43&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/fern-and-heather-berry-floral-spray-60919-beige-6304863048-be-9997403.jpg,2026/7/9,fall,artificial plants
Fall pumpkin spray - orange,$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/fall-pumpkin-spray?_pos=44&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/fall-pumpkin-spray-orangemth13086-anor-6121860.jpg,2026/7/9,fall,artificial plants
Cosmos spray - golden,$5.47,greenerymarket,https://greenerymarket.com/collections/fall/products/cosmos-spray-golden?_pos=45&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/cosmos-spray-golden5357-goor-740170.jpg,2026/7/9,fall,artificial plants
Artificial Sunflower flower bush - yellow,$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-sunflower-flower-bush-yellow-6?_pos=46&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-sunflower-flower-bush-yellow12003-344898.jpg,2026/7/9,fall,artificial plants
Mustard And Green Eucalyptus bush,$5.97,greenerymarket,https://greenerymarket.com/collections/fall/products/autumn-eucalyptus-bush?_pos=47&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/mustard-and-green-eucalyptus-bush65369-4265334.jpg,2026/7/9,fall,artificial plants
Bay Leaves Spray,$5.97,greenerymarket,https://greenerymarket.com/collections/fall/products/autumn-bay-leaves-spray?_pos=48&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/autumn-bay-leaves-spray65190-yel-1951393.jpg,2026/7/9,fall,artificial plants
Artificial Brown PVC Fern Bush,$8.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-brown-pvc-fern-bush?_pos=49&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-brown-pvc-fern-bush85367-uv-brn-6787234.jpg,2026/7/9,fall,artificial plants
Artificial Red Orange PVC Leaf Bush,$9.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-red-pvc-leaf-bush?_pos=50&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-red-orange-pvc-leaf-bush85366-uv-8404585.jpg,2026/7/9,fall,artificial plants
"Artificial, Beige Tan PVC Fern Bush",$8.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-beige-tan-pvc-fern-bush?_pos=51&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-beige-tan-pvc-fern-bush85361-uv-9390094.jpg,2026/7/9,fall,artificial plants
"Artificial, Mixed Fall Filler Spray",$9.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-mixed-fall-filler-spray?_pos=52&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-mixed-fall-filler-spray40302-4203910.jpg,2026/7/9,fall,artificial plants
"Artificial, Fall Birch Berry Spray",$8.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-fall-birch-berry-spray?_pos=53&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-fall-birch-berry-spray40373-2065497.jpg,2026/7/9,fall,artificial plants
Green Pumpkin Pinecone Spray,$13.97,greenerymarket,https://greenerymarket.com/collections/fall/products/green-pumpkin-pinecone-spray?_pos=54&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/green-pumpkin-pinecone-spray85353-gn-2231768.jpg,2026/7/9,fall,artificial plants
"Artificial, Brown Poppy Cattail Mixed Bush",$9.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-brown-poppy-cattail-mixed-bush?_pos=55&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-brown-poppy-cattail-mixed-bush40375-brn-1135202.jpg,2026/7/9,fall,artificial plants
Fall Foliage Berry Spray,$5.97,greenerymarket,https://greenerymarket.com/collections/fall/products/fall-foliage-berry-spray?_pos=56&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/fall-foliage-berry-spray40321-9460364.jpg,2026/7/9,fall,artificial plants
"Gold & Orange Fall Beech Spray - 35""",$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/gold-brown-fall-beech-spray-36?_pos=57&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/gold-orange-fall-beech-spray-35fl7169gobrn-9339932.jpg,2026/7/9,fall,artificial plants
"Burgundy Velvet Leaf With Berry Bush - 16""",$16.97,greenerymarket,https://greenerymarket.com/collections/fall/products/burgundy-velvet-leaf-with-berry-bush-17?_pos=58&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/burgundy-velvet-leaf-with-berry-bush-16xf686bu-6176165.jpg,2026/7/9,fall,artificial plants
Mixed Oak Leaf Spray - Autumn,$7.47,greenerymarket,https://greenerymarket.com/collections/fall/products/mixed-maple-leaf-spray-autumn?_pos=59&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/mixed-maple-leaf-spray-autumn64488-rdor-7135144.jpg,2026/7/9,fall,artificial plants
"Artificial, Burgundy Grape Leaf Spray - 18""",$10.97,greenerymarket,https://greenerymarket.com/collections/fall/products/artificial-burgundy-grape-leaf-spray-18?_pos=60&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/artificial-burgundy-grape-leaf-spray-18fl7031bu-9918672.jpg,2026/7/9,fall,artificial plants
"Fall mixed foliage, crater berries & cone pick",$6.97,greenerymarket,https://greenerymarket.com/collections/fall/products/fall-mixed-foliage-crater-berries-and-cone-pick?_pos=61&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/fall-mixed-foliage-crater-berries-cone-pickpm3482-255973.jpg,2026/7/9,fall,artificial plants
Creamy orange ranunculus bundle,$11.97,greenerymarket,https://greenerymarket.com/collections/fall/products/creamy-orange-ranunculus-bundle?_pos=62&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/creamy-orange-ranunculus-bundle26057-357948.jpg,2026/7/9,fall,artificial plants
"Autumn Sawgrass, Hanging Greenery Bush - Greenery market Exclusive",$12.97,greenerymarket,https://greenerymarket.com/collections/fall/products/sage-sawgrass-greenery-bush-for-autumn?_pos=63&_fid=d0e2fcf15&_ss=c,https://greenerymarket.com/cdn/shop/files/autumn-sawgrass-hanging-greenery-bush-greenery-market-exclusivegm1122sage-1588247.jpg,2026/7/9,fall,artificial plants
